<begin_file>

ACTION               : CONVERT NETCDF CF TO HDF5 MOHID
HDF5_OUT             : 1
OUTPUTFILENAME       : output_hdf_file
OUTPUT_GRID_FILENAME : output_grid_file

<<begin_time>>
NETCDF_NAME         : time
<<end_time>> 

<<begin_grid>>
NETCDF_NAME_LAT     : lat
NETCDF_NAME_LONG    : lon
NETCDF_NAME_BATHYM  : topo
<<end_grid>>

PROPERTIES_NUMBER   : 7

<<begin_field>>
NETCDF_NAME         : u
NAME                : wind velocity X
UNITS               : m/s
DESCRIPTION         : 10 metre U wind component
DIM                 : 2
<<end_field>>

<<begin_field>>
NETCDF_NAME         : v
NAME                : wind velocity Y
UNITS               : m/s
DESCRIPTION         : 10 metre V wind component
DIM                 : 2
<<end_field>>

<<begin_field>>
NETCDF_NAME         : temp
NAME                : air temperature
UNITS               : C
DESCRIPTION         : 2 metre component
DIM                 : 2
ADD_FACTOR          : -273.15
<<end_field>>

<<begin_field>>
NETCDF_NAME         : cft
NAME                : cloud cover
UNITS               : fraction
DESCRIPTION         : total cloud cover
DIM                 : 2
<<end_field>>

<<begin_field>>
NETCDF_NAME         : swflx
NAME                : solar radiation
UNITS               : W/m2
DESCRIPTION         : surface downwelling shortwave flux
DIM                 : 2
<<end_field>>

<<begin_field>>
NETCDF_NAME         : prec
NAME                : precipitation
UNITS               : mm
DESCRIPTION         : total precipitation
DIM                 : 2
<<end_field>>

<<begin_field>>
NETCDF_NAME         : rh
NAME                : relative humidity
UNITS               : fraction
DESCRIPTION         : relative humidity estimated from dewpoint and temperature
DIM                 : 2
<<end_field>>

<<begin_input_files>>
input_nc_file
<<end_input_files>>
<end_file>
