 IN_MODEL                  Unknown Client            Do not have               From File                 ConvertToHDF5Action.dat                                      YES
 OUTWATCH                  ConvertToHDF5             Do not have               From File                 ************                                                 YES
 ACTION                    ConvertToHDF5             Do not have               From Block                CONVERT NETCDF CF TO HDF5 MOHID                              YES
 FILENAME                  ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                ************                                                 YES
 OUTPUT_GRID_FILENAME      ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                ************                                                 YES
 OUTPUTFILENAME            ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                D:/DOUTORAMENTO/Metereologia/ERA5/twinstreams/GetERA5/2025-1 YES
 OUTPUT_GEOMETRY_FILENAME  ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                ************                                                 YES
 PROPERTIES_NUMBER         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                7                                                            YES
 HDF5_OUT                  ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block                TRUE                                                         YES
 NETCDF_OUT                ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 READ_INVERT_XY            ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 READ_INVERT_LAT           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 READ_INVERT_LAT_V2        ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 READ_MIRROR_LON           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 WINDOW_OUT                ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                                                                             YES
 NAN_2_NULL                ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI time                      From Block In Block       time                                                         YES
 REFERENCE_DATE_IN         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                                                                             YES
 REFERENCE_DATE_OUT        ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block                                                                             YES
 DATE_TYPE_IN              ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 UNITS_FACTOR              ModuleNetCDFCF_2_HDF5MOHI 3600.00000000000          From Block                3600.00000000000                                             YES
 REF_DATE_ATTRIBUTE        ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block                TRUE                                                         YES
 REF_DATE_ATTRIBUTE_NAME   ModuleNetCDFCF_2_HDF5MOHI units                     From Block                units                                                        YES
 REF_DATE_NAME             ModuleNetCDFCF_2_HDF5MOHI *****                     From Block                *****                                                        YES
 REF_DATE_OFF_SET          ModuleNetCDFCF_2_HDF5MOHI 0.00000000000000          From Block                0.00000000000000                                             YES
 REF_DATE_OFF_SET_FROM_ATT ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 NETCDF_DIM                ModuleNetCDFCF_2_HDF5MOHI time                      From Block In Block       time                                                         YES
 NETCDF_NAME_LAT           ModuleNetCDFCF_2_HDF5MOHI latitude                  From Block In Block       latitude                                                     YES
 NETCDF_NAME_LONG          ModuleNetCDFCF_2_HDF5MOHI longitude                 From Block In Block       longitude                                                    YES
 STARTS_180W               ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block In Block       TRUE                                                         YES
 CORRECT_LONG_ON           ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block In Block       TRUE                                                         YES
 DIJ                       ModuleNetCDFCF_2_HDF5MOHI 1                         From Block In Block       1                                                            YES
 NETCDF_NAME_DEPTH         ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       ************                                                 YES
 NETCDF_NAME_DEPTH_WL      ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       ************                                                 YES
 NETCDF_NAME_BATHYM        ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       d2m                                                          YES
 BATHYM_FILENAME           ModuleNetCDFCF_2_HDF5MOHI Batim.dat                 From Block In Block       Batim.dat                                                    YES
 BATHYM_FROM_MAP           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 BATHYM_TYPE_IN            ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 BATHYM_INVERT_REFERENTIAL ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block                FALSE                                                        YES
 FIELD_TYPE_IN             ModuleNetCDFCF_2_HDF5MOHI 2                         From Block                2                                                            YES
 NETCDF_NAME_MAPPING       ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       ************                                                 YES
 NETCDF_NAME_MAPPING_3D    ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 FROM_2D_TO_3D             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 MAPPING_LIMIT             ModuleNetCDFCF_2_HDF5MOHI 0.500000000000000         From Block In Block       0.500000000000000                                            YES
 MAPPING_INSTANT           ModuleNetCDFCF_2_HDF5MOHI 1                         From Block In Block       1                                                            YES
 DEPTH_OFFSET              ModuleNetCDFCF_2_HDF5MOHI 0.00000000000000          From Block In Block       0.00000000000000                                             YES
 GEO_VERT                  ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       2                                                            YES
 GEO_SIGMA                 ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 GEO_INTERPOLATE           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 GEO_POSITIVE              ModuleNetCDFCF_2_HDF5MOHI down                      From Block In Block       down                                                         YES
 INVERT_LAYER_ORDER        ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 ROMS_DISTORTION           ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 ZXYT                      ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 LONG_LAT_IMPOSED          ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 NETCDF_NAME               ModuleNetCDFCF_2_HDF5MOHI Do not have               From Block In Block       u2                                                           YES
 ADD_FACTOR                ModuleNetCDFCF_2_HDF5MOHI 0.00000000000000          From Block In Block       0.00000000000000                                             YES
 MULTIPLY_FACTOR           ModuleNetCDFCF_2_HDF5MOHI 1.00000000000000          From Block In Block       1.00000000000000                                             YES
 UNITS_SCALE               ModuleNetCDFCF_2_HDF5MOHI 1.00000000000000          From Block In Block       1.00000000000000                                             YES
 UNITS_ADD                 ModuleNetCDFCF_2_HDF5MOHI 0.00000000000000          From Block In Block       0.00000000000000                                             YES
 MINIMUM_VALUE             ModuleNetCDFCF_2_HDF5MOHI -9.900000000000000E+015   From Block In Block       -9.900000000000000E+015                                      YES
 OLD_MISSING_VALUE         ModuleNetCDFCF_2_HDF5MOHI -9.900000000000000E+015   From Block In Block       -9.900000000000000E+015                                      YES
 NEW_MISSING_VALUE         ModuleNetCDFCF_2_HDF5MOHI -9.900000000000000E+015   From Block In Block       -9.900000000000000E+015                                      YES
 MIN_MAX_LIMITS            ModuleNetCDFCF_2_HDF5MOHI -9.900000000000000E+015   From Block In Block                                                                    YES
 DIM                       ModuleNetCDFCF_2_HDF5MOHI 2                         From Block In Block       2                                                            YES
 FROM_2D_TO_3D             ModuleNetCDFCF_2_HDF5MOHI FALSE                     From Block In Block       FALSE                                                        YES
 EXTRACT_LAYER             ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block In Block       TRUE                                                         YES
 lAYER_number              ModuleNetCDFCF_2_HDF5MOHI 1                         From Block In Block       1                                                            YES
 LAYER_DIM                 ModuleNetCDFCF_2_HDF5MOHI 3                         From Block In Block       3                                                            YES
 CHECK_PROPERTY            ModuleNetCDFCF_2_HDF5MOHI TRUE                      From Block In Block       TRUE                                                         YES
 NAME                      Unknown Client            Do not have               From Block In Block       wind velocity X                                              YES
 DYNAMIC                   Unknown Client            FALSE                     From Block In Block       FALSE                                                        YES
 UNITS                     Unknown Client            Do not have               From Block In Block       m/s                                                          YES
